group,Team,Year,name,value,,,,,,,,,,,
F,WPG,14_15,Wheeler,5.6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wheeler"",""value"":5.6,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Little,4.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Little"",""value"":4.7,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Ladd,4.4,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ladd"",""value"":4.4,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Frolik,3.3,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Frolik"",""value"":3.3,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Perreault,3,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Perreault"",""value"":3,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Slater,1.6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Slater"",""value"":1.6,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Scheifele,1.563,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Scheifele"",""value"":1.563,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Thorburn,1.2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Thorburn"",""value"":1.2,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Lowry,0.925,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lowry"",""value"":0.925,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Galiardi,0.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Galiardi"",""value"":0.75,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Tlusty,0.73,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tlusty"",""value"":0.73,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Halischuk,0.725,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Halischuk"",""value"":0.725,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Stafford,0.645,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stafford"",""value"":0.645,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Peluso,0.562,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Peluso"",""value"":0.562,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,Stempniak,0.203,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stempniak"",""value"":0.203,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
F,WPG,14_15,O'Dell,0.15,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""O'Dell"",""value"":0.15,""group"":""F"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Enstrom,5.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Enstrom"",""value"":5.75,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Byfuglien,5.2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Byfuglien"",""value"":5.2,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Stuart,2.625,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stuart"",""value"":2.625,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Clitsome,2.067,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Clitsome"",""value"":2.067,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Trouba,1.827,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Trouba"",""value"":1.827,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Myers,1.774,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Myers"",""value"":1.774,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Postma,0.713,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Postma"",""value"":0.713,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Pardy,0.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pardy"",""value"":0.7,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Harrison,0.649,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Harrison"",""value"":0.649,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Chiarot,0.423,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Chiarot"",""value"":0.423,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
D,WPG,14_15,Ellerby,0.132,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ellerby"",""value"":0.132,""group"":""D"",""team"":""WPG"",""year"":""14_15""},"
G,WPG,14_15,Pavelec,3.9,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pavelec"",""value"":3.9,""group"":""G"",""team"":""WPG"",""year"":""14_15""},"
G,WPG,14_15,Hutchinson,0.575,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hutchinson"",""value"":0.575,""group"":""G"",""team"":""WPG"",""year"":""14_15""},"
G,WPG,14_15,Hellebuyck,0.005,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hellebuyck"",""value"":0.005,""group"":""G"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Kane,3.556,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kane"",""value"":3.556,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Bogosian,3.484,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bogosian"",""value"":3.484,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Budaj,0.475,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Budaj"",""value"":0.475,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Klingberg,0.038,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Klingberg"",""value"":0.038,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Cormier,0.121,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Cormier"",""value"":0.121,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Brouillette,0.113,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brouillette"",""value"":0.113,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Ehlers,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ehlers"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Morrissey,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Morrissey"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Armia,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Armia"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Olkinuora,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Olkinuora"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Holland,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Holland"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Comrie,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Comrie"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Kosmachuk,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kosmachuk"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Petan,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Petan"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
